iter	MultiClass
0	1.896840012
1	1.850866144
2	1.811093404
3	1.775018601
4	1.74073842
5	1.710286737
6	1.681652976
7	1.654108138
8	1.627482942
9	1.602945834
10	1.579323858
11	1.558467992
12	1.537595592
13	1.51859898
14	1.498646911
15	1.480220805
16	1.463124643
17	1.44761166
18	1.432688143
19	1.41739871
20	1.403855723
21	1.390450646
22	1.377828596
23	1.366104879
24	1.353850774
25	1.342145561
26	1.331310667
27	1.322162886
28	1.312607454
29	1.303195812
30	1.293649909
31	1.28509219
32	1.27601058
33	1.268388187
34	1.260417452
35	1.25251397
36	1.244863137
37	1.237078479
38	1.230504879
39	1.224466286
40	1.218151113
41	1.211041138
42	1.2051614
43	1.199147446
44	1.193177331
45	1.187201683
46	1.18126957
47	1.175713955
48	1.171461769
49	1.165981344
50	1.160793304
51	1.15616157
52	1.151701381
53	1.147558283
54	1.143400546
55	1.13972939
56	1.136053387
57	1.132747531
58	1.129355714
59	1.125356843
60	1.122175154
61	1.11936616
62	1.116261181
63	1.113271628
64	1.110369892
65	1.107417337
66	1.103795943
67	1.100556349
68	1.097181318
69	1.094503963
70	1.091539791
71	1.089075547
72	1.086347527
73	1.083799227
74	1.0815166
75	1.078704272
76	1.076377187
77	1.0736868
78	1.071414057
79	1.06924776
80	1.06644309
81	1.06420668
82	1.061489477
83	1.058923623
84	1.057503383
85	1.055222599
86	1.052408412
87	1.050092025
88	1.048024581
89	1.046114958
90	1.04424877
91	1.042582227
92	1.040547357
93	1.039333448
94	1.038124382
95	1.036128577
96	1.034395737
97	1.032768985
98	1.031186998
99	1.029245821
100	1.027721363
101	1.026402583
102	1.025090677
103	1.023565681
104	1.021338469
105	1.020234037
106	1.018850699
107	1.017538887
108	1.015983765
109	1.01436905
110	1.013142415
111	1.0115404
112	1.010365608
113	1.009190825
114	1.007967463
115	1.007124481
116	1.005810442
117	1.004465661
118	1.003444105
119	1.00256437
120	1.001714175
121	1.000370098
122	0.9989086096
123	0.9974789344
124	0.9962307382
125	0.9948133778
126	0.9934748535
127	0.9923822421
128	0.9911948313
129	0.9898425331
130	0.9892545335
131	0.9881751032
132	0.987276457
133	0.98631397
134	0.9855986727
135	0.9845216457
136	0.9831857102
137	0.981998435
138	0.9809029273
139	0.9799979486
140	0.9789594373
141	0.977793035
142	0.976886929
143	0.9758944196
144	0.9751167995
145	0.9739170485
146	0.9729339966
147	0.9720917711
148	0.9710344587
149	0.9703512111
150	0.9693545235
151	0.9680695399
152	0.9675315566
153	0.9668348153
154	0.9660754694
155	0.9653232974
156	0.9643701976
157	0.9638234721
158	0.9628244791
159	0.9617632325
160	0.960603958
161	0.9600216729
162	0.9594197318
163	0.9586954618
164	0.9581888278
165	0.9575173984
166	0.9568295019
167	0.9560194767
168	0.9552007073
169	0.9545082951
170	0.9538846024
171	0.9529099937
172	0.9520647118
173	0.9511862061
174	0.950498813
175	0.9494246264
176	0.9485622929
177	0.9476260173
178	0.9468380965
179	0.946027029
180	0.9453767796
181	0.9447914333
182	0.9441505705
183	0.9431898081
184	0.9423059357
185	0.9416041331
186	0.9410714628
187	0.9399072211
188	0.9391133929
189	0.9387079893
190	0.9380089817
